index,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,year_end,year_start
799,24.0,20.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0016004,1990.0,1990.0
806,59.0,55.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0120573,1990.0,1990.0
892,0.0,0.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0484557,1990.0,1990.0
903,4.0,1.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0038872,1990.0,1990.0
926,9.0,5.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0008519,1990.0,1990.0
945,14.0,10.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0006254,1990.0,1990.0
981,19.0,15.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0010488,1990.0,1990.0
1014,29.0,25.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.002053,1990.0,1990.0
1039,34.0,30.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0025356,1990.0,1990.0
1048,39.0,35.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0034112,1990.0,1990.0
1077,44.0,40.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0042138,1990.0,1990.0
1094,49.0,45.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.00579,1990.0,1990.0
1116,54.0,50.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0085161,1990.0,1990.0
1152,64.0,60.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0193204,1990.0,1990.0
1186,74.0,70.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0485264,1990.0,1990.0
1204,79.0,75.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.0763329,1990.0,1990.0
1227,84.0,80.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.1162611,1990.0,1990.0
1245,89.0,85.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.1828205,1990.0,1990.0
1266,94.0,90.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.272319,1990.0,1990.0
1290,99.0,95.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.389326,1990.0,1990.0
1314,101.0,100.0,,sub-saharan_africa_southern,m_all,,,female,-99.0,,0.5313638,1990.0,1990.0
